etf_ticker,stock_ticker,stock_name,weight_pct,shares
00984A,8210,勤誠興業,0.19,10000
00984A,2313,華通,0.16,47000
00984A,9910,豐泰,0.11,98000
00984A,2385,群光,0.1,51000
00984A,1477,聚陽,0.09,31000
00981A,2330,台積電,10.03,11960000
00981A,2383,台光電,7.62,4486000
00981A,2454,聯發科,6.64,4263000
00981A,2308,台達電,5.6,6572000
00981A,2345,智邦,5.5,6231000
00981A,3017,奇鋐,4.95,5191000
00981A,2327,國巨*,4.79,18313000
00981A,6669,緯穎,4.77,2437000
00981A,6223,旺矽,4.63,2169000
00981A,3037,欣興,4.26,12466000
00981A,3711,日月光投控,3.74,17948000
00981A,2368,金像電,3.69,7769000
00981A,3665,貿聯-KY,3.56,4703848
00981A,8046,南電,3.34,10828000
00981A,2303,聯電,3.15,71690000
00981A,3653,健策,2.97,2267000
00981A,5274,信驊,2.71,422000
00981A,6274,台燿,2.62,4400000
00981A,6515,穎崴,1.34,442000
00981A,6805,富世達,1.23,1761000
00981A,6510,精測,1.15,930000
00981A,8210,勤誠,1.08,2167000
00981A,2382,廣達,0.77,5441000
00981A,2317,鴻海,0.75,7307000
00981A,3533,嘉澤,0.72,852000
00981A,6147,頎邦,0.55,5775000
00981A,6187,萬潤,0.52,1334000
00981A,5439,高技,0.45,3528000
00981A,4966,譜瑞-KY,0.44,1642000
00981A,6278,台表科,0.28,3734000
00981A,3443,創意,0.26,167000
00981A,1590,亞德客-KY,0.24,530000
00981A,3008,大立光,0.22,161000
00981A,8358,金居,0.19,980000
00981A,6191,精成科,0.14,3988000
00981A,3376,新日興,0.13,1741000
00981A,6271,同欣電,0.06,686000
00981A,2002,中鋼,0.03,5163000
00981A,1319,東陽,0.02,511000
